"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifies that the Privacy settings screen layout matches the expected baseline","19514","Check Privacy settings layout @android @high-risk @1-devices","Visual Checks","2026-01-30","passed","2026-01-30","","Settings","",""
"Verifies that a PDF can be sent to a group, all members receive the document, and replying to a document works as expected","145","Send document to group @android @high-risk @3-devices","Sending Messages","2026-01-30","failed","2026-01-30","","Message types","",""
"Verifies the in-app review modal texts and buttons for the positive flow (Enjoying Session - Rate App)","19791","Review prompt positive flow @android @high-risk @1-devices","In-App Review Prompt","2026-01-30","passed","2026-01-30","","Flows","",""
"Verifies that global deletion in a group deletes a message for every participant.","149","Delete message for all in group @android @high-risk @3-devices","User Actions","2026-01-30","failed","2026-01-30","","Delete Message","",""
"Verifies that a user can share an image from the photo gallery to Session","30626","Share to session @android @medium-risk @2-devices","User Actions","2026-01-30","failed","2026-01-30","","Share to Session","",""
"Verifies that a user can set a nickname for a contact and that it appears correctly in the conversation settings, conversation header and home screen.","28965","Set nickname @android @high-risk @2-devices","User Actions","2026-01-30","failed","2026-01-30","","Set Nickname","",""
"Verifies that an image can be sent and received in a community","27934","Send image to community @android @medium-risk @2-devices","Sending Messages","2026-01-30","failed","2026-01-30","","Message types","",""
"Verifies that Disappearing Messages can be set in Note to Self, and that a message disappears after the specified expiry time.","74663","Disappear after send note to self @android @medium-risk @1-devices","Disappearing Messages","2026-01-30","passed","2026-01-30","","Conversation Types","",""
"Verifies that the Settings donation link is correct and that the HTTP request is successful (200)","24859","Donate Settings menu item @android @high-risk @1-devices","Donations","2026-01-30","passed","2026-01-30","","donate.spec.ts","",""
"Verifies that a link preview disappears as expected in a 1:1 conversation","30328","Disappearing link message 1:1 @android @low-risk @2-devices","Disappearing Messages","2026-01-30","failed","2026-01-30","","Message Types","",""
"Verifies that the Appearance settings screen layout matches the expected baseline","19138","Check Appearance settings layout @android @high-risk @1-devices","Visual Checks","2026-01-30","passed","2026-01-30","","Settings","",""
"","14871","Warning modal on new account @android @medium-risk @1-devices","","2026-01-30","passed","2026-01-30","","warning_modal_new_account.spec.ts","",""
"Verifies voice call functionality and permission flow:
    - Verifies strings of all call permission prompts (microphone, notifications, etc.)
    - Verifies missed call notifications when recipient lacks permissions
    - Confirms successful call connection once both users enable permissions
    - Verifies control messages after call is finished
    Note that due to the nature of virtual devices, no actual ""talking"" takes place","30567","Voice calls @android @high-risk @2-devices","Voice Calls","2026-01-30","failed","2026-01-30","","voice_calls.spec.ts","",""
"Verifies that only admins can enable Disappearing Messages in a group","148","Group member disappearing messages @android @medium-risk @3-devices","Disappearing Messages","2026-01-30","failed","2026-01-30","","Rules","",""
"Verifies that a GIF disappears as expected in a 1:1 conversation","30543","Disappearing GIF message 1:1 @android @low-risk @2-devices","Disappearing Messages","2026-01-30","failed","2026-01-30","","Message Types","",""
"Verifies that the 'Invite a Friend' share functionality opens the native share sheet and the user's Account ID is present in the message.","22221","Invite a friend @android @medium-risk @1-devices","New Conversation","2026-01-30","passed","2026-01-30","","Invite a Friend","",""
