"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifies that the in-app review prompt shows after the user presses the Donate button in Settings","19388","Review prompt Donate trigger @ios @high-risk @1-devices","In-App Review Prompt","Mon Dec 01 10:26:35 AEDT 2025","passed","Mon Dec 01 10:26:54 AEDT 2025","","Triggers","",""
"","49106","Send voice message 1:1 @ios @high-risk @2-devices","","Mon Dec 01 10:24:27 AEDT 2025","passed","Mon Dec 01 10:25:16 AEDT 2025","","message_voice.spec.ts","",""
"Verifies that a user can be unblocked after being blocked","39318","Unblock user @ios @low-risk @2-devices","User Actions","Mon Dec 01 10:29:42 AEDT 2025","passed","Mon Dec 01 10:30:21 AEDT 2025","","Block/Unblock","",""
"Verifies that a video disappears as expected in a group conversation","115924","Disappearing video to group @ios @low-risk @3-devices","Disappearing Messages","Mon Dec 01 09:57:42 AEDT 2025","passed","Mon Dec 01 09:59:38 AEDT 2025","","Message Types","",""
"Verifies message length behavior at 2000 characters - countdown shows 0, message sends","63727","Message length limit (2000 chars) @ios @high-risk @1-devices","Sending Messages","Mon Dec 01 10:19:56 AEDT 2025","passed","Mon Dec 01 10:20:59 AEDT 2025","","Rules","",""
"Verifies voice call functionality and permission flow:
    - Verifies strings of all call permission prompts (microphone, notifications, etc.)
    - Verifies missed call notifications when recipient lacks permissions
    - Confirms successful call connection once both users enable permissions
    - Verifies control messages after call is finished
    Note that due to the nature of virtual devices, no actual ""talking"" takes place","73366","Voice calls @ios @high-risk @2-devices","Voice Calls","Mon Dec 01 10:31:41 AEDT 2025","passed","Mon Dec 01 10:32:54 AEDT 2025","","voice_calls.spec.ts","",""
"","54162","Send GIF 1:1 @ios @medium-risk @2-devices","","Mon Dec 01 10:18:13 AEDT 2025","passed","Mon Dec 01 10:19:07 AEDT 2025","","message_gif.spec.ts","",""
"Verifies that the Appearance settings screen layout matches the expected baseline","17928","Check Appearance settings layout @ios @high-risk @1-devices","Visual Checks","Mon Dec 01 10:30:55 AEDT 2025","passed","Mon Dec 01 10:31:13 AEDT 2025","","Settings","",""
"","19762","Create user @ios @high-risk @1-devices","","Mon Dec 01 10:27:31 AEDT 2025","passed","Mon Dec 01 10:27:50 AEDT 2025","","user_actions_create_user.spec.ts","",""
"Verifies that a user's avatar color is consistent across linked devices.","26003","Avatar color linked device @ios @medium-risk @2-devices","Visual Checks","Mon Dec 01 10:13:13 AEDT 2025","passed","Mon Dec 01 10:13:39 AEDT 2025","","Onboarding","",""
"","38721","Delete message locally @ios @high-risk @2-devices","","Mon Dec 01 10:17:34 AEDT 2025","passed","Mon Dec 01 10:18:13 AEDT 2025","","message_deletion.spec.ts","",""
"Verifies that a GIF disappears as expected in a 1:1 conversation","110015","Disappearing GIF message 1:1 @ios @low-risk @2-devices","Disappearing Messages","Mon Dec 01 09:51:59 AEDT 2025","passed","Mon Dec 01 09:53:49 AEDT 2025","","Message Types","",""
"Verifies that a group created on one device appears on a linked device, and that a group name change syncs to all members.","143184","Create group and change name syncs @ios @high-risk @4-devices","Groups","Mon Dec 01 10:13:39 AEDT 2025","passed","Mon Dec 01 10:16:02 AEDT 2025","","Create Group","",""
"Verifies that the 'Invite a Friend' share functionality opens the native share sheet and the user's Account ID is present in the message.","25286","Invite a friend @ios @medium-risk @1-devices","New Conversation","Mon Dec 01 10:12:49 AEDT 2025","passed","Mon Dec 01 10:13:14 AEDT 2025","","Invite a Friend","",""
"","53143","Send document 1:1 @ios @high-risk @2-devices","","Mon Dec 01 10:18:01 AEDT 2025","passed","Mon Dec 01 10:18:54 AEDT 2025","","message_document.spec.ts","",""
"Verifies that the in-app review prompt only shows shows once after triggered","25127","Review prompt only once @ios @medium-risk @1-devices","In-App Review Prompt","Mon Dec 01 10:26:10 AEDT 2025","passed","Mon Dec 01 10:26:35 AEDT 2025","","Triggers","",""
"","93365","Block message request in conversation @ios @high-risk @3-devices","","Mon Dec 01 10:22:11 AEDT 2025","passed","Mon Dec 01 10:23:44 AEDT 2025","","message_requests_block.spec.ts","",""
