"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifies that the in-app review prompt shows after the user sets a different theme","20429","Review prompt Appearance trigger @ios @high-risk @1-devices","In-App Review Prompt","2026-02-02","passed","2026-02-02","","Triggers","",""
"Verifies that the Privacy settings screen layout matches the expected baseline","15756","Check Privacy settings layout @ios @high-risk @1-devices","Visual Checks","2026-02-02","passed","2026-02-02","","Settings","",""
"","18139","Create user @ios @high-risk @1-devices","","2026-02-02","passed","2026-02-02","","user_actions_create_user.spec.ts","",""
"Verifies that joining a community works and the conversation syncs to a linked device","115242","Join community test @ios @high-risk @2-devices","New Conversation","2026-02-02","passed","2026-02-02","","Join Community","",""
"","95240","Unsend message @ios @high-risk @2-devices","","2026-02-02","failed","2026-02-02","","message_unsend.spec.ts","",""
"Verifies that an emoji reaction can be sent and is received in a 1-1 conversation.","57999","Send emoji react 1:1 @ios @high-risk @2-devices","Sending Messages","2026-02-02","failed","2026-02-02","","Emoji reacts","",""
"Verifies that a voice message can be sent to a group, all members receive the document, and replying to a document works as expected","54770","Send voice message to group @ios @high-risk @3-devices","Sending Messages","2026-02-02","failed","2026-02-02","","Message types","",""
"Verifies that an admin can delete a group successfully via the UI.
  The group members see the empty state control message, and the admin's conversation disappears from the home screen, even on a linked device.","378650","Delete group linked device @ios @high-risk @4-devices","Groups","2026-02-02","failed","2026-02-02","","Leave/Delete Group","",""
"Verifies that global deletion in a group deletes a message for every participant.","42282","Delete message for all in group @ios @high-risk @3-devices","User Actions","2026-02-02","passed","2026-02-02","","Delete Message","",""
"Verifies message length behavior at 1799 characters - no countdown shows, message sends","147377","Message length limit (1799 chars) @ios @high-risk @1-devices","Sending Messages","2026-02-02","failed","2026-02-02","","Rules","",""
"Verifies that 'Disappear After Send' works as expected in a 1:1 conversation","69263","Disappear after send @ios @high-risk @2-devices","Disappearing Messages","2026-02-02","passed","2026-02-02","","Conversation Types","",""
"Verifies that when a message is deleted on one device, it shows as deleted on a linked device too.","89416","Delete message linked device @ios @high-risk @3-devices","User Actions","2026-02-02","failed","2026-02-02","","Delete Message","",""
"Verifies voice call functionality and permission flow:
    - Verifies strings of all call permission prompts (microphone, notifications, etc.)
    - Verifies missed call notifications when recipient lacks permissions
    - Confirms successful call connection once both users enable permissions
    - Verifies control messages after call is finished
    Note that due to the nature of virtual devices, no actual ""talking"" takes place","72882","Voice calls @ios @high-risk @2-devices","Voice Calls","2026-02-02","passed","2026-02-02","","voice_calls.spec.ts","",""
"Create four accounts, create a group with three, add the fourth member","325106","Add contact to group @ios @high-risk @4-devices","Groups","2026-02-02","passed","2026-02-02","","Edit Group","",""
